# average_velocity_axis_0_t_inf,95CLI,us/u_eta,surftimeconst/t_eta,proportion,omegamax * t_eta,reacttime/t_eta
7.417363513650791773e-02,1.642916315381098141e-02,1.000000000000000000e+00,5.000000000000000000e+00,1.000000000000000000e+00,2.500000000000000000e-01,5.000000000000000000e-01
8.920448526339397333e-02,1.653639516187490818e-02,1.000000000000000000e+00,5.000000000000000000e+00,1.000000000000000000e+00,5.000000000000000000e-01,5.000000000000000000e-01
8.295609290185690377e-02,1.658543462606357211e-02,1.000000000000000000e+00,5.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,5.000000000000000000e-01
9.377190473292597306e-02,1.638631387937259515e-02,1.000000000000000000e+00,5.000000000000000000e+00,1.000000000000000000e+00,2.000000000000000000e+00,5.000000000000000000e-01
9.677664355277079689e-02,1.620986459443881506e-02,1.000000000000000000e+00,5.000000000000000000e+00,1.000000000000000000e+00,4.000000000000000000e+00,5.000000000000000000e-01
1.115484028555109169e-01,1.643839216766388930e-02,1.000000000000000000e+00,5.000000000000000000e+00,1.000000000000000000e+00,8.000000000000000000e+00,5.000000000000000000e-01
4.160078000414009491e-02,1.642620129513325256e-02,1.000000000000000000e+00,5.000000000000000000e+00,1.000000000000000000e+00,1.250000000000000000e-01,1.000000000000000000e+00
7.800897546230987911e-02,1.664589813644553468e-02,1.000000000000000000e+00,5.000000000000000000e+00,1.000000000000000000e+00,2.500000000000000000e-01,1.000000000000000000e+00
6.576126017771713461e-02,1.665243677739257008e-02,1.000000000000000000e+00,5.000000000000000000e+00,1.000000000000000000e+00,5.000000000000000000e-01,1.000000000000000000e+00
8.488571559318265625e-02,1.636360780620928559e-02,1.000000000000000000e+00,5.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
1.116445439481875829e-01,1.629748043575032432e-02,1.000000000000000000e+00,5.000000000000000000e+00,1.000000000000000000e+00,2.000000000000000000e+00,1.000000000000000000e+00
1.094591990462463194e-01,1.617065354436604194e-02,1.000000000000000000e+00,5.000000000000000000e+00,1.000000000000000000e+00,4.000000000000000000e+00,1.000000000000000000e+00
9.984665788495154792e-02,1.629350591785900387e-02,1.000000000000000000e+00,5.000000000000000000e+00,1.000000000000000000e+00,8.000000000000000000e+00,1.000000000000000000e+00
1.583372430174343620e-02,1.653514320195199894e-02,1.000000000000000000e+00,8.000000000000000000e+00,1.000000000000000000e+00,1.250000000000000000e-01,5.000000000000000278e-02
5.446299975753650380e-02,1.643185460820294555e-02,1.000000000000000000e+00,8.000000000000000000e+00,1.000000000000000000e+00,2.500000000000000000e-01,5.000000000000000278e-02
7.625299916814892720e-02,1.610860843943230994e-02,1.000000000000000000e+00,8.000000000000000000e+00,1.000000000000000000e+00,5.000000000000000000e-01,5.000000000000000278e-02
9.005864226666002170e-02,1.633665386270614223e-02,1.000000000000000000e+00,8.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,5.000000000000000278e-02
9.035676025151037627e-02,1.631934005195417522e-02,1.000000000000000000e+00,8.000000000000000000e+00,1.000000000000000000e+00,2.000000000000000000e+00,5.000000000000000278e-02
