# average_velocity_axis_0,95CLI,us/u_eta,surftimeconst/t_eta,reorientationtime/t_eta
1.146322855555555797e+00,1.368073151424651912e-01,1.500000000000000000e+01,2.000000000000000000e+00,0.000000000000000000e+00
1.148022972222222382e+00,1.208124902035661863e-01,1.500000000000000000e+01,3.000000000000000000e+00,0.000000000000000000e+00
1.049679616666666648e+00,1.499080130046388237e-01,1.500000000000000000e+01,4.000000000000000000e+00,0.000000000000000000e+00
8.123421888888889830e-01,1.388406840758192318e-01,1.500000000000000000e+01,5.000000000000000000e+00,0.000000000000000000e+00
8.673856055555555500e-01,1.134511369619498611e-01,1.500000000000000000e+01,6.000000000000000000e+00,0.000000000000000000e+00
7.986277333333333672e-01,1.183411965394045584e-01,1.500000000000000000e+01,7.000000000000000000e+00,0.000000000000000000e+00
7.493598388888887962e-01,1.386015050575997165e-01,1.500000000000000000e+01,8.000000000000000000e+00,0.000000000000000000e+00
7.385837833333332991e-01,1.306486408772420948e-01,1.500000000000000000e+01,9.000000000000000000e+00,0.000000000000000000e+00
6.186894111111109762e-01,1.028340046144262804e-01,1.500000000000000000e+01,1.000000000000000000e+01,0.000000000000000000e+00
1.129530170000000222e+00,1.679739719994713387e-01,2.000000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.446822170000000130e+00,2.107502955527660038e-01,2.000000000000000000e+01,1.000000000000000000e+00,0.000000000000000000e+00
1.443516610000000089e+00,2.201809676617066669e-01,2.000000000000000000e+01,2.000000000000000000e+00,0.000000000000000000e+00
1.305586140000000173e+00,1.545528228237273427e-01,2.000000000000000000e+01,3.000000000000000000e+00,0.000000000000000000e+00
1.235572269999999806e+00,1.158115171336281252e-01,2.000000000000000000e+01,4.000000000000000000e+00,0.000000000000000000e+00
1.226590839999999849e+00,1.654729168176004850e-01,2.000000000000000000e+01,5.000000000000000000e+00,0.000000000000000000e+00
9.929047199999999629e-01,2.152699406320404685e-01,2.000000000000000000e+01,6.000000000000000000e+00,0.000000000000000000e+00
9.111681500000001765e-01,1.631663544577965919e-01,2.000000000000000000e+01,7.000000000000000000e+00,0.000000000000000000e+00
1.047911089999999934e+00,1.358417303654249619e-01,2.000000000000000000e+01,8.000000000000000000e+00,0.000000000000000000e+00
8.738642399999999588e-01,1.317131067748704143e-01,2.000000000000000000e+01,9.000000000000000000e+00,0.000000000000000000e+00
8.804467099999999657e-01,1.901386649963117681e-01,2.000000000000000000e+01,1.000000000000000000e+01,0.000000000000000000e+00
